module,last_inspected,issue,severity_max,categories_found,followup_issues,notes
aspect,2026-04-23,,,,,"Clean. aspect() calls _validate_raster at line 400 and _validate_boundary at line 406. northness()/eastness() delegate to aspect() so inherit validation. Cat 1: allocations match input shape. Cat 3: CPU and GPU kernels propagate NaN correctly through arctan2. Cat 4: _run_gpu (planar, aspect.py:144-147) uses combined bounds+stencil guard. _run_gpu_geodesic_aspect (geodesic.py:395) has explicit bounds check. No shared memory. Cat 5: no file I/O. Cat 6: all backends cast dtype explicitly; tests cover int32/int64/uint32/uint64/float32/float64."
balanced_allocation,2026-04-23,,,,,"Clean. Cat 1: memory guard at lines 311-326 uses _available_memory_bytes() and raises MemoryError when total_estimate (array_bytes * (n_sources + 3)) exceeds 0.8 * avail BEFORE computing any cost surface. Trivial n_sources==0/1 paths only allocate arrays matching input size. Cat 2: np.prod(raster.shape) returns int64, no overflow. Cat 3: divisions by target_weight (lines 373, 380) are guarded by total==0 break (364) and target_weight>0 check (379); fric_weight strips NaN via np.where(np.isfinite & >0). Cat 4: no CUDA kernels. Cat 5: no file I/O. Cat 6: _validate_raster called on both raster and friction (lines 275-277)."
bilateral,2026-04-23,1236,HIGH,1,,"HIGH (fixed #1236): bilateral() validated sigma_spatial only as > 0, with no upper bound. The derived kernel radius = ceil(2*sigma_spatial) drove the _pad_array allocation (H+2r, W+2r) when boundary != 'nan' and the dask map_overlap depth on every backend. sigma_spatial=1e9 on a 100x100 raster -> radius=2e9 -> ~128 EB padded float64 allocation. sigma_spatial=1e5 -> ~320 GB. Fixed by clamping radius to max(rows, cols) in bilateral() before dispatch; inner numba/CUDA loops were already clamped to rows/cols so the output is unchanged for realistic inputs. No other HIGH findings: GPU kernel has bounds guard (if 0 <= x < cols and 0 <= y < rows), _validate_raster is called on agg, agg.data.astype(float) is applied before dispatch, NaN propagation is explicit (center NaN -> NaN out, neighbor NaN skipped), division by w_sum is guarded (w_sum > 0.0). MEDIUM (unfixed, Cat 3): sigma_spatial underflow (e.g. 1e-200) makes inv_2_ss = inf and can propagate NaN through exp() at the center pixel, but not safety-critical."
bump,2026-04-22,1231,HIGH,1,,"HIGH (fixed #1231): _finish_bump allocated np.zeros((height, width)) with no memory guard. The existing count guard (added in #1206) only protected the locs/heights arrays, so bump(width=1_000_000, height=1_000_000) passed the guard (count capped at 10M ~ 160 MB) and then tried to allocate an 8 TB float64 raster. Fixed by extending the memory budget check to include raster_bytes = w * h * 8 when the backend will materialize the full array; dask paths build per-chunk and are excluded. No other HIGH findings: _bump_dask_numpy/_bump_dask_cupy build output lazily via da.from_delayed, no CUDA kernels (cupy path wraps the numba CPU kernel), no file I/O, no int32 overflow in realistic scenarios. MEDIUM (unfixed, Cat 6): bump() does not call _validate_raster on agg (dtype is not checked; shape unpacking catches wrong-ndim, but a non-numeric DataArray would fail confusingly downstream)."
classify,2026-04-24,,,,1244;1246,"Re-audited 2026-04-24 after PRs #1245 (22b325e, equal_interval degenerate input) and #1248 (3963f15, natural_breaks Jenks matrix cap) landed on HEAD. Cat 1: output allocations (_cpu_binary line 57, _cpu_bin line 179, _run_cupy_binary line 99, _run_cupy_bin line 271) all match input shape which is bounded by caller. Jenks matrices in _run_numpy_jenks_matrices are now guarded via _available_memory_bytes() at classify.py:686-697. Head/tail, maximum_breaks, box_plot, percentiles all allocate bounded by input. Cat 2: no flat index math (kernels iterate (y,x) directly); numba loop variables default to int64. Cat 3: _cpu_bin guards NaN via np.isfinite(val) before binary search (line 189); _run_cupy_bin strips inf to nan before the CUDA kernel (line 267) and NaN comparisons fall through to val_bin=-1 which writes np.nan; binary search bounds (bins[mid-1] when mid=0) are safe because nbins>=2 plus val>bins[0] guarantees first iteration takes the start=mid+1 branch. Cat 4: _run_gpu_binary (line 92) and _run_gpu_bin (line 261) both have i/j bounds guards; no shared memory. Cat 5: only /proc/meminfo read (hardcoded, line 41), no user-path I/O. Cat 6: all 10 public functions (binary, reclassify, quantile, natural_breaks, equal_interval, std_mean, head_tail_breaks, percentiles, maximum_breaks, box_plot) call _validate_raster with numeric=True. LOW (not flagged): _generate_sample_indices / _compute_natural_break_bins use np.uint32 for linspace idx (wraps at num_data > 2^32 ~ 4.3B pixels) but a 32+ GB input would already trip the Jenks memory guard. LOW (not flagged): reclassify does not validate bins/new_values dtype; object-dtype input would fail confusingly inside numba but is a self-inflicted caller error."
contour,2026-04-23,1240,HIGH,1,,"HIGH (fixed #1240): _contours_numpy allocated two (max_segs_per_level, 2) float64 buffers per level with no memory check, where max_segs_per_level = 2*(ny-1)*(nx-1). A 20000x20000 raster peaked at ~12.8 GB per level before touching _stitch_segments' endpoint dict. Fixed by adding _available_memory_bytes() guard (32 bytes/segment) that raises MemoryError before np.empty when estimate > 0.5 * available. CuPy path transfers to CPU and inherits the guard; dask paths process each chunk independently and are not affected. MEDIUM (unfixed, Cat 6): contours() does not call _validate_raster -- only ndim and shape are checked, dtype is not validated (object/string dtypes would fail later with a confusing error). No CUDA kernels. No file I/O. NaN handling via self-comparison (line 50) and division-by-zero guarded in _emit_seg interpolation."
convolution,2026-04-23,1241,HIGH,1,,"HIGH (fixed #1241): circle_kernel() and annulus_kernel() in xrspatial/convolution.py accepted a user-supplied radius with no upper bound. The kernel is built via _ellipse_kernel(half_w, half_h) where half_w = int(radius_meters/cellsize_x), so memory grew quadratically with the radius. cellsize=1, radius=100000 -> 200001x200001 float64 ~ 320 GB. annulus_kernel calls circle_kernel twice so the same hole applied. Fixed by adding _check_kernel_memory() (local _available_memory_bytes() helper like bump.py/viewshed.py) and calling it in circle_kernel before _ellipse_kernel. Budget = 32 bytes/cell to cover the output plus linspace/ellipse-mask temporaries; raises MemoryError when required > 0.5*available. No other HIGH findings: _convolve_2d_cuda has bounds guard (lines 371-373) and inner-index check (lines 384-385), no shared memory/syncthreads needed. All four backends call _promote_float on input dtype so integer inputs cast to float32 cleanly; _convolve_2d_numpy propagates NaN through multiply+accumulate. No file I/O. MEDIUM (unfixed, Cat 6): convolve_2d() does not call _validate_raster on input; non-numeric DataArray would fail inside numba/cupy with a confusing error. MEDIUM (unfixed, Cat 1): custom_kernel() does not cap kernel shape, so a caller can still pass a huge np.ones((N,N)) directly -- but that is a self-inflicted allocation outside the library, and _convolve_2d_numpy would still try to padded-allocate around it via _pad_array."
corridor,2026-04-24,,,,,"Clean. Cat 1: corridor = cd_a + cd_b allocates a same-shape array, but cost_distance already applies its own memory guards before materializing cd_a and cd_b, so no new unbounded allocation is introduced here. Pairwise mode creates N*(N-1)/2 corridor surfaces from a user-supplied sources list, but each is bounded by cost_distance's guard and N is under caller control. Cat 2: no int32 index math. Cat 3: cost_distance returns NaN for unreachable pixels (not Inf); NaN propagates correctly through cd_a + cd_b and through the - corridor_min subtraction, so reach-one-unreachable pixels stay NaN. The all-unreachable case (corridor_min is NaN) is handled explicitly via np.isfinite(corridor_min) check returning all-NaN. No divisions in corridor.py. Cat 4: no CUDA kernels. Cat 5: no file I/O. Cat 6: _validate_raster is called on source_a, source_b, each entry in sources, and friction (when precomputed=False). cost_distance itself enforces raster.shape == friction.shape. Precomputed path treats source_a/source_b as cost-distance surfaces and still runs _validate_raster on them. Minor UX (not a security issue): relative threshold uses threshold * corridor_min, which collapses to 0 when sources overlap (corridor_min=0)."
cost_distance,2026-04-25,1262,HIGH,1,,"HIGH (fixed #1262): the recent #1252/#1253 patch only guarded the numpy path (_cost_distance_numpy -> _check_memory). _cost_distance_cupy on the GPU backend ran the same allocation pattern (cp.full((H,W), inf, float64) + source_mask + passable + cp.where intermediate + float32 out) with no guard. A 100000x100000 cupy raster requested ~80 GB on the device, which the cupy allocator surfaces as an opaque internal error rather than a clean MemoryError pointing at max_cost= or dask. Fixed by adding _available_gpu_memory_bytes() (uses cupy.cuda.runtime.memGetInfo, returns 0 when unavailable) and _check_gpu_memory(h, w) that raises MemoryError before the first cp.full when 24 bytes/pixel exceeds 50% of free GPU RAM. Wired into _cost_distance_cupy at line 407, which also covers the dask+cupy map_overlap path because that path calls _cost_distance_cupy per chunk. The dask+cupy unbounded fallback already converts to dask+numpy and inherits the existing _check_memory guard. MEDIUM (unfixed, Cat 1): _cost_distance_dask map_overlap chunk_func path calls _cost_distance_kernel directly without going through _cost_distance_numpy's _check_memory, so a single very large dask chunk could still OOM -- bounded by user-controlled chunk size, lower priority. MEDIUM (unfixed, Cat 6): _validate_raster(numeric=True) accepts integer-dtype rasters; the kernel's np.isfinite() check on int data is always True so int-encoded sentinel values would not be treated as impassable, but this is caller-controlled. No CUDA bounds issues: _cost_distance_relax_kernel has iy/ix>=H/W guard at line 314-315 and neighbor bounds check at line 327. No file I/O beyond the hardcoded /proc/meminfo read. No int32 overflow risk: max_heap is allocated with explicit dtype=int64."
curvature,2026-04-25,,,,,"Clean. Small (271 LOC) module computing 3x3 second-derivative stencil. Cat 1: only single output buffer matching input shape (np.empty at line 37, cupy.empty at line 101) -- bounded by caller, per audit guidance not a finding. Cat 2: _cpu numba kernel uses range(1, rows-1)/range(1, cols-1) with simple (y, x) indices; no flat indexing or queue arrays; numba range loops produce int64. Cat 3: division by cellsize*cellsize on line 44 -- cellsize comes from get_dataarray_resolution() (raster property, not user-direct); cellsize=0 is unrealistic and would produce inf consistently across backends. NaN inputs propagate correctly through float arithmetic. Cat 4: _run_gpu (line 79-86) has full bounds guard via 'i + di <= out.shape[0] - 1 and j + dj <= out.shape[1] - 1' which guarantees i < shape[0] and j < shape[1] before the out[i, j] write; no shared memory; out is pre-filled with NaN at line 102 so threads outside the guard correctly leave NaN. Cat 5: no file I/O. Cat 6: curvature() calls _validate_raster at line 253; all four backend paths explicitly cast to float32 (lines 51, 62, 97, 112) so dtype is normalized before any computation; tests cover int32/int64/uint32/uint64/float32/float64 across numpy/cupy/dask+numpy/dask+cupy."
